fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
75707,BATIMENT0000000240756671-2,75111000AX0046_ef5e4301b347e68,"75","751114202","75056","171",23.000000000000000,55.899999999999999,"0"
75708,BATIMENT0000000240757166-1,75111000AS0037_6a0548f7e3f72ff,"75","751114212","75056","974",23.300000000000001,44.299999999999997,"0"
75709,BATIMENT0000000240757167-3,75111000AS0037_6a0548f7e3f72ff,"75","751114212","75056","2112",11.300000000000001,44.299999999999997,"0"
75710,BATIMENT0000000240757168-1,75111000AS0038_fb15407b50794d5,"75","751114212","75056","39",1.600000000000000,44.299999999999997,"0"
75711,BATIMENT0000000240757169-2,75111000AS0038_fb15407b50794d5,"75","751114212","75056","232",7.600000000000000,44.299999999999997,"0"
75712,BATIMENT0000000240757170-2,75111000AS0038_fb15407b50794d5,"75","751114212","75056","1440",19.399999999999999,44.299999999999997,"0"
75713,BATIMENT0000000240757171-2,75111000AS0038_fb15407b50794d5,"75","751114212","75056","894",19.399999999999999,44.299999999999997,"0"
75714,BATIMENT0000000240756722-1,75111000AS0013_24ba472c3cf3f80,"75","751114203","75056","715",29.100000000000001,42.500000000000000,"0"
75715,BATIMENT0000000240756729-1,75111000AS0013_24ba472c3cf3f80,"75","751114203","75056","24",27.000000000000000,42.899999999999999,"0"
75716,BATIMENT0000000240755865-3,75111000AS0029_7544707ce458e0c,"75","751114212","75056","1830",23.399999999999999,43.700000000000003,"0"
75717,BATIMENT0000000240755867-1,75111000AS0029_7544707ce458e0c,"75","751114212","75056","69",33.000000000000000,44.600000000000001,"0"
75718,BATIMENT0000000240757165-3,75111000AS0036_63786b4b3aacfca,"75","751114212","75056","341",11.300000000000001,44.299999999999997,"0"
75719,BATIMENT0000000240757164-2,75111000AS0036_63786b4b3aacfca,"75","751114212","75056","263",21.899999999999999,44.299999999999997,"0"
75720,BATIMENT0000000240756218-2,75111000AS0039_9fea7d1914a3f8d,"75","751114212","75056","286",11.100000000000000,44.299999999999997,"0"
75721,BATIMENT0000000240757174-1,75111000AS0039_9fea7d1914a3f8d,"75","751114212","75056","189",11.300000000000001,44.299999999999997,"0"
75722,BATIMENT0000000240757175-2,75111000AS0039_9fea7d1914a3f8d,"75","751114212","75056","358",25.699999999999999,44.299999999999997,"0"
75723,BATIMENT0000000240757181-2,75111000AS0053_cf16dde682ca78a,"75","751114212","75056","109",6.400000000000000,44.299999999999997,"0"
75724,BATIMENT0000000240757182-3,75111000AS0053_cf16dde682ca78a,"75","751114212","75056","454",21.199999999999999,44.299999999999997,"0"
75725,BATIMENT0000000240757223-2,75111000AZ0085_40e587c73db709d,"75","751114205","75056","174",25.899999999999999,33.399999999999999,"0"
75726,BATIMENT0000000240757234-2,75111000AZ0085_40e587c73db709d,"75","751114205","75056","407",10.300000000000001,33.399999999999999,"0"
75727,BATIMENT0000000245187448-2,75111000AP0062_e1dd094fffed02b,"75","751114209","75056","53",4.600000000000000,34.500000000000000,"0"
75728,BATIMENT0000000245187449-1,75111000AP0062_e1dd094fffed02b,"75","751114209","75056","44",4.600000000000000,34.500000000000000,"0"
75729,BATIMENT0000000245187450-3,75111000AP0062_e1dd094fffed02b,"75","751114209","75056","141",19.000000000000000,34.500000000000000,"0"
75730,BATIMENT0000000245187451-2,75111000AP0062_e1dd094fffed02b,"75","751114209","75056","239",19.000000000000000,34.500000000000000,"0"
75731,BATIMENT0000000240757309-1,75111000AX0014_f0829608092454b,"75","751114202","75056","179",17.500000000000000,50.899999999999999,"0"
75732,BATIMENT0000000240757310-2,75111000AX0014_f0829608092454b,"75","751114202","75056","141",6.500000000000000,50.899999999999999,"0"
75733,BATIMENT0000000240757195-2,75111000AT0015_589048073e26374,"75","751114213","75056","194",19.399999999999999,42.299999999999997,"0"
75734,BATIMENT0000000240757196-3,75111000AT0015_589048073e26374,"75","751114213","75056","888",8.400000000000000,42.299999999999997,"0"
75735,BATIMENT0000000245187444-1,75111000AP0065_7b37f93873fd9c1,"75","751114209","75056","23",8.000000000000000,34.399999999999999,"0"
75736,BATIMENT0000000245187445-1,75111000AP0065_7b37f93873fd9c1,"75","751114209","75056","30",7.300000000000000,34.399999999999999,"0"
